,Unnamed: 0,word,word_onsets,word_offsets,cloze_pre_rep,cloze_post_rep,cloze_MemEffect_rep,boundary,agreement
269,269,know,119.38500007690428,119.6650000854492,0.02,0.12,0.0999999999999999,,
270,270,its,119.6650000854492,119.85499991821288,0.02,0.16,0.14,,
271,271,good,119.85499991821288,120.12500008666991,0.08,0.26,0.18,,
272,272,and,120.55500002929686,120.67500008422851,0.2,0.24,0.0399999999999999,,
273,273,then,120.67500008422851,120.78499994018554,0.04,0.14,0.1,,
274,274,i,120.78499994018554,120.81499999877929,0.46,0.78,0.32,,
275,275,start,120.89499997558592,121.35499997680662,0.04,0.22,0.18,,
276,276,to,121.3850000354004,121.49500007080076,0.66,0.72,0.0599999999999999,,
277,277,make,121.49500007080076,121.80499995849608,0.0,0.26,0.26,,
278,278,it,121.80499995849608,121.94500005249024,0.02,0.5,0.48,,
279,279,better,122.85500003540038,123.21500002075194,0.2,0.42,0.2199999999999999,1.0,0.17560975609756097
280,280,by,126.13499998168945,126.25500003662108,0.32,0.38,0.06,,
281,281,adding,126.25500003662108,126.55500008422852,0.26,0.36,0.0999999999999999,,
282,282,an,126.55500008422852,126.66499994018557,0.0,0.12,0.12,,
283,283,element,126.66499994018557,127.16500001953123,0.0,0.16,0.16,,
284,284,of,127.40499994995116,127.53500002441406,0.58,0.72,0.14,,
285,285,embellishment,127.53500002441406,128.1249999206543,0.0,0.4,0.4,,
286,286,reporters,129.27500001342773,129.83500003051756,0.0,0.14,0.14,,
287,287,call,129.83500003051756,130.17499997680665,0.0,0.44,0.44,,
288,288,this,130.17499997680665,130.76500005249022,0.1,0.38,0.28,,
289,289,making,131.27499997192382,131.755000012207,0.0,0.42,0.42,,
290,290,shit,131.755000012207,132.0949999584961,0.0,0.44,0.44,,
291,291,up,132.0949999584961,132.33500006835936,0.52,0.84,0.3199999999999999,1.0,0.2634146341463415
292,292,and,135.52500001831052,135.66499993286132,0.34,0.54,0.2,,
293,293,they,135.66499993286132,135.7950000073242,0.0,0.14,0.14,,
294,294,recommend,135.7950000073242,136.52499999755858,0.0,0.16,0.16,,
295,295,against,136.60499997436523,137.3550000036621,0.02,0.18,0.16,,
296,296,crossing,137.3550000036621,137.7749999267578,0.0,0.18,0.18,,
297,297,that,137.7749999267578,137.93500005981443,0.02,0.38,0.36,,
298,298,line,137.93500005981443,138.3150000842285,0.72,0.82,0.0999999999999999,,
299,299,but,139.98499993652342,140.19499998779295,0.16,0.42,0.26,,
300,300,i,140.19499998779295,140.3350000817871,0.56,0.76,0.1999999999999999,,
301,301,had,140.3350000817871,140.49500003540038,0.02,0.18,0.16,,
302,302,just,140.49500003540038,140.72499994628905,0.0,0.12,0.12,,
303,303,seen,140.72499994628905,141.1450000488281,0.06,0.2,0.14,,
304,304,the,141.44499991699217,141.61500006958008,0.32,0.28,-0.0399999999999999,,
305,305,line,141.61500006958008,142.07500007080077,0.02,0.24,0.22,,
306,306,crossed,142.07500007080077,142.64499992797852,0.14,0.38,0.24,,
307,307,between,142.64499992797852,143.08500006958008,0.0,0.16,0.16,,
308,308,a,143.08500006958008,143.17500006591797,0.0,0.24,0.24,,
309,309,high,143.17500006591797,143.3949999572754,0.0,0.18,0.18,,
310,310,powered,143.3949999572754,143.6950000048828,0.0,0.18,0.18,,
311,311,dean,143.6950000048828,144.18500006469725,0.22,0.48,0.26,,
312,312,and,144.58499994873046,144.7250000427246,0.72,0.8,0.08,,
313,313,assault,144.7250000427246,145.02499991088865,0.0,0.12,0.12,,
314,314,with,145.02499991088865,145.1449999658203,0.14,0.48,0.3399999999999999,,
315,315,a,145.1449999658203,145.17500002441406,0.68,0.8,0.12,,
316,316,pastry,145.17500002441406,145.83500005737304,0.0,0.16,0.16,,
317,317,and,146.8550000756836,146.97499995117187,0.1,0.26,0.16,1.0,0.13658536585365855
318,318,i,146.97499995117187,147.03500006835935,0.48,0.64,0.16,,
319,319,kind,147.03500006835935,147.28500001831054,0.0,0.16,0.16,,
320,320,of,147.28500001831054,147.35499997558594,0.9,0.9,0.0,,
321,321,liked,147.35499997558594,147.65500002319334,0.1,0.32,0.22,,
322,322,it,147.65500002319334,147.77500007812498,0.28,0.54,0.26,,
323,323,so,148.77500005737303,148.91499997192383,0.34,0.6,0.2599999999999999,,
324,324,the,148.91499997192383,148.99499994873045,0.06,0.1,0.04,,
325,325,first,148.99499994873045,149.27499995727538,0.0,0.16,0.16,,
326,326,thing,149.27499995727538,149.4850000085449,0.58,0.76,0.18,,
327,327,i,149.27499995727538,149.40500003173827,0.78,0.8,0.02,,
328,328,did,149.4850000085449,149.79500007568356,0.48,0.56,0.08,,
329,329,was,150.39499999145505,150.5150000463867,0.84,0.86,0.02,,
330,330,i,150.5150000463867,150.55499994506835,0.04,0.18,0.1399999999999999,,
331,331,gave,150.63499992187496,150.76499999633788,0.0,0.38,0.38,,
332,332,the,150.76499999633788,150.824999934082,0.48,0.64,0.16,,
333,333,figure,150.824999934082,151.2450000366211,0.0,0.16,0.16,,
